2023-12-19 03:48:24.7922342Z;Api;400; 1.1.0; ZionOrm.ZionCrud; 23; [Fields wrong: 1] [Missing: Id_user] [Null: ] [Fields Error Type / Data: ] [Fields that cannot be in the request (payload da requisição): ] [Fields Ok: 6]
2023-12-19 04:05:25.5220007Z;Api;400; 1.1.0; ZionOrm.ZionCrud; 23; [Fields wrong: 1] [Missing: Id_user] [Null: ] [Fields Error Type / Data: ] [Fields that cannot be in the request (payload da requisição): ] [Fields Ok: 6]
2023-12-19 04:06:57.7734892Z;Api;400; 1.1.0; ZionOrm.ZionCrud; 53; User not found  select * from "user" where id = '1' and email = 'ze@gmail.com' and deleted = 0 and active = 1
2023-12-19 04:08:43.5059385Z;Api;400; 1.1.0; ZionOrm.ZionCrud; 53; User not found  select * from "user" where id = '1' and email = 'ze@gmail.com' and deleted = 0 and active = 1
2023-12-19 04:11:32.0393068Z;Api;400; 1.1.0; Register; 31; The Put request did not receive the updated_at field
2023-12-19 04:15:46.7511353Z;Api;400; 1.1.0; ZionOrm; 6; PostgreSQL Connect(): Unable to connect to database: 28P01: password authentication failed for user "vilesoft" Connection Number: 2 -  System.Reflection.TargetInvocationException apiError 48: unable to instance the Postgres on Connection Number: 2
2023-12-19 04:16:37.7111586Z;Api;400; 1.1.0; ZionOrm; 6; PostgreSQL Connect(): Unable to connect to database: 28P01: password authentication failed for user "vilesoft" Connection Number: 2 -  System.Reflection.TargetInvocationException apiError 48: unable to instance the Postgres on Connection Number: 2
2023-12-19 18:47:30.5652302Z;Api;400; 1.1.0; ZionOrm.ZionCrud; 23; [Fields wrong: 4] [Missing: Latitude, Longitude, Altitude, Ip] [Null: ] [Fields Error Type / Data: ] [Fields that cannot be in the request (payload da requisição): ] [Fields Ok: 3]
2023-12-19 19:25:56.5870143Z;Api;400; 1.1.0; ZionOrm.ZionCrud; 23; [Fields wrong: 1] [Missing: Code] [Null: ] [Fields Error Type / Data: ] [Fields that cannot be in the request (payload da requisição): ] [Fields Ok: 7]
2023-12-19 19:26:51.2938767Z;Api;400; 1.1.0; ZionHelper.ZionTotp; 51; The input is not a valid Base-64 string as it contains a non-base 64 character, more than two padding characters, or an illegal character among the padding characters.
2023-12-19 19:29:15.1292558Z;Api;400; 1.1.0; ZionHelper.ZionTotp; 51; The input is not a valid Base-64 string as it contains a non-base 64 character, more than two padding characters, or an illegal character among the padding characters.
2023-12-19 19:32:39.0814911Z;Api;400; 1.1.0; ZionHelper.ZionTotp; 51; The input is not a valid Base-64 string as it contains a non-base 64 character, more than two padding characters, or an illegal character among the padding characters.
2023-12-19 19:34:39.6710069Z;Api;400; 1.1.0; ZionHelper.ZionTotp; 51; Incorrect ou expired Totp Code
2023-12-19 19:39:50.5033543Z;Api;400; 1.1.0; ZionHelper.ZionTotp; 51; Incorrect ou expired Totp Code
2023-12-19 20:02:12.7266248Z;Api;400; 1.1.0; ZionHelper.ZionTotp; 51; Incorrect ou expired Totp Code
